Mode,Frequency_THz,Freq_MeepQ_Factor,Wavelength_nm
1,143.0935209595033,0.16074172187784205,50.26452547367498,2096.5309818947185
2,149.56332182245174,0.1680094648472208,64.19907246503632,2005.839375218834
3,155.49691496199134,0.17467486780730362,83.95424007408242,1929.298726430232
4,160.64678162620604,0.18045988469343813,127.88457364256381,1867.4510436072223
5,164.33845849674515,0.18460686837801038,220.2000041116341,1825.5008763267772
6,167.6658738880152,0.1883446650008704,219.73453440205986,1789.2728737415664
7,171.77037370864045,0.19295538646603944,168.88815524904567,1746.5177115400857
8,238.49946087556194,0.2679143943835479,1753.4113515214037,1257.8644785974013
9,250.94201400020336,0.28189152906022846,133.0270860840955,1195.4953067355111
10,260.0734063747089,0.29214912649425634,63.227398610641,1153.520477859876
11,265.59256727264403,0.2983489839029368,78.75083366108008,1129.5496823600301
12,273.9072683817813,0.3076891648155343,54.95533753399382,1095.2611873805763
13,279.104023810188,0.3135268534134445,62.03567375826764,1074.868057810671
