Mode,Frequency_THz,Freq_MeepQ_Factor,Wavelength_nm
1,129.3003826319114,0.14524742982318048,157.3105794048582,2320.1787488443197
2,146.31847082202867,0.16436441555674555,84.72040485471123,2050.3221385145457
3,195.0000342696742,0.21905003849626736,8914.818465005943,1538.4612680894031
4,216.57542140939904,0.2432863900498916,290.4486255621226,1385.198736069413
5,250.0910409418226,0.28093560265798073,2895.855348244518,1199.5631625596195
6,252.95125315104914,0.2841485743730119,2855.957029942166,1185.9992637429466
7,253.6880318893294,0.2849762224890134,2496.8810635866175,1182.554800736024
8,255.58320646938208,0.28710513526727255,648.7455091744995,1173.7860407347964
9,258.57570252097145,0.29046670583189127,1303.5521729657746,1160.2018173987901
10,262.44759340169065,0.2948161299212325,1031.8739565769881,1143.0853531997654
11,267.0970600312845,0.30003903076847627,860.77484662536,1123.1872038009765
12,272.16311591781744,0.30572990021434826,986.9514400660557,1102.2801491242046
13,277.45926326715875,0.31167923907010836,1140.6157200901334,1081.2398060436617
14,282.8843993117765,0.31777347522689564,1170.2289233446224,1060.5038691771751
15,288.3731998447695,0.3239392278256244,1012.2012966329628,1040.3185877241337
16,293.876558447898,0.3301213339898054,807.4319449140432,1020.836781213319
